MTDBD Mock up.docx,,,,,,
ID,Name,Source,Date,Schema,Type,Link
,Hartford ,Fears ,18860103,Place,City,https://twainsgeography.com/epoch/home-hartford
,Charles Hopkins Clark,Fears ,18860103,Person,Colleague,https://librivox.org/some-articles-about-mark-twain-by-various/
,"""Library of Humor Project""",Fears ,18860103,Works,,https://archive.org/details/marktwainslibrar00twaiuoft/page/n5/mode/2up
,William Dean Howells,Fears ,18860103,Person,"Newspaper Editor, The Atlantic",https://www.google.com/books/edition/The_Mark_Twain_Encyclopedia/zW1k-XS6XLEC?hl=en&gbpv=1&bsq=Howells
,P&P,Fears ,18860103,Works,,https://legacy.mtpo2.org/xtf/view?docId=works/MTDP10004.xml;style=work;brand=mtp
,Grant Book,Fears ,18860103,Works,,https://www.google.com/books/edition/Personal_Memoirs_of_U_S_Grant/xxQzAQAAMAAJ?hl=en&gbpv=1&dq=the+personal+memoirs+of+ulysses+s.+grant&printsec=frontcover
,New York,Fears ,18860103,Place,City,https://twainsgeography.com/location/new-york-city-new-york
,Charles Webster,Fears ,18860103,Person,Twain's Business Manager,https://en.wikipedia.org/wiki/Charles_L._Webster
,Baltimore,Fears ,18860103,Place,City,https://twainsgeography.com/location/baltimore-md
,William M. Laffan,Fears ,18860103,Person,"Friend, Correspondent, Publisher",https://en.wikipedia.org/wiki/William_M._Laffan
,Mergenthaler Linotype Company,Fears ,18860103,Organization,,https://en.wikipedia.org/wiki/Mergenthaler_Linotype_Company
,"Olivia ""Livy"" Clemens",Fears ,18860103,Person,Spouse,https://en.wikipedia.org/wiki/Olivia_Langdon_Clemens
,Henry Ward Beecher,Fears ,18860103,Person,Clergyman,https://en.wikipedia.org/wiki/Henry_Ward_Beecher
,Major James Pond,Fears ,18860103,Person,"Lecture Manager, Abolitionist",https://en.wikipedia.org/wiki/James_Pond_%28Medal_of_Honor%29
,Lizzie Ferayir,Fears ,18860103,Person,Correspondent,https://legacy.mtpo2.org/xtf/search?keyword=Ferayir+&x=0&y=0&fieldList=text+date+letterno+writer+addressee+place+collection+repository+publication+publisher+title-uniform+identifier&style=mtp&brand=default&sort=date&category=letters
,Orion Clemens,Fears ,18600627,Person,Sibling,https://www.google.com/books/edition/The_Mark_Twain_Encyclopedia/zW1k-XS6XLEC?hl=en&gbpv=1&bsq=orion
,Memphis,Fears ,18600627,Place,City,https://twainsgeography.com/taxonomy/term/76
,"""Paradise Lost""",Fears ,18600627,Works,,
,Jane Lampton Clemens,Fears ,18600627,Person,Mother,
,Sam Clemens,Fears ,18600627,Person,Sibling,