Unnamed: 1,name,birth_year,death_year
correspondedWith,"Adams, Charles Follen",1842,1918
associatedWith,"Adams, John Davis",1860,1942
associatedWith,"Ade, George",1866,1944
associatedWith,Admiral Sir Clowdishley Shovell,,
associatedWith,"Alden, Henry Mills",1836,1919
correspondedWith,"Aldrich, Thomas Bailey",1836,1907
associatedWith,Alice Shaw,,
associatedWith,"Allen, Gay Wilson, 1903-",,
associatedWith,"Allen, Horace Newton",1858,1932
associatedWith,"Allen, Richard Stoughton.",,
associatedWith,"Allison, Young Ewing",1853,1932
associatedWith,Als.,,
associatedWith,"Anderson, Charles Roberts",1902,1999
associatedWith,"Anderson, Sherwood",1876,1941
associatedWith,"Andrae, William Cook",1894,1965
associatedWith,Andre Breton,,
associatedWith,"Andrews, Kenneth R. (Kenneth Richmond)",1916,2005
associatedWith,"Andrews, Kenneth",1916,2005
associatedWith,"Anthony, Charles, 1883-",,
associatedWith,"Armour, Alexander William.",,
associatedWith,"Arnold, William Harris",1854,1923
associatedWith,"Bacheller, Irving",1859,1950
associatedWith,"Bacon, Francis",1561,1626
associatedWith,"Bacon, Irving R. (Irving Ruben)",1875,1962
associatedWith,"Baetzhold, Howard G., 1923-",,
associatedWith,"Baldwin, William Wilberforce,",,
associatedWith,"Bangs, John Kendrick",1862,1922
associatedWith,"Barrett, Arabella, d. 1868.",,
associatedWith,"Barrows, Richard Lee, Mrs.",,
associatedWith,"Baxter, Sylvester",1850,1927
associatedWith,"Beach, Emma.",,
associatedWith,"Beals, Jessie Tarbox.",,
associatedWith,Beard Daniel,1850,1941
correspondedWith,"Beard, Daniel Carter",1850,1941
associatedWith,"Beckwith, J. Carroll (James Carroll)",1852,1917
associatedWith,"Bellamy, Edward",1850,1898
associatedWith,"Beloin, Edmund.",,
associatedWith,"Benjamin, Park",1809,1864
associatedWith,"Benjamin, Park",1849,1922
associatedWith,"Benson, Florence.",,
associatedWith,"Bigelow, Poultney, b. 1855.",,
associatedWith,"Billings, Josh",1818,1885
associatedWith,"Bixby, William K. (William Keeney)",1857,1931
associatedWith,"Blackmer, Margaret",,
associatedWith,"Blackmer, Margaret,",,
associatedWith,"Blakemore, Michael, 1928-",,
associatedWith,"Bland, Henry Meade",1863,1931
associatedWith,"Blathwayt, Raymond, 1855-",,
associatedWith,"Bless, Frank.",,
associatedWith,"Bliss Lane, Arthur, Mrs,",,
associatedWith,"Bliss, Elisha",1822,1880
associatedWith,"Bliss, Francis E. (Francis Edward).",,
associatedWith,"Bock, Jerry.",,
associatedWith,"Bok, Edward William",1863,1930
associatedWith,"Borgman, Albert Stephens",1890,1954
associatedWith,"Bowditch, Nancy Douglas.",,
associatedWith,"Bowen, Marjorie",1888,1952
associatedWith,"Bowen, William",1836,1893
associatedWith,"Bowker, Bessie S.",,
correspondedWith,"Boyd, Crosby Noyes, 1903-",,
associatedWith,"Boyesen, Hjalmar Hjorth",1848,1895
associatedWith,"Boyle, Virginia Frazer",1863,1938
associatedWith,"Brachmann, Elisabeth.",,
associatedWith,"Bradley, Sculley, 1897-",,
associatedWith,"Branch, Edgar Marquess, 1913-",,
associatedWith,"Brigham, Warren Luther",1846,1880
associatedWith,"Brown, Alexander Crosby, 1905-",,
associatedWith,"Brown, John George",1831,1913
associatedWith,"Brown, John.",,
associatedWith,"Brown, W. Dale.",,
associatedWith,"Brownlee, Anne Netta,",,
associatedWith,"Brush, Louis.",,
associatedWith,"Bryant, William Cullen",1794,1878
associatedWith,"Bryce, Lloyd Stephens",1851,1917
associatedWith,"Bryce, Lloyd",1851,1917
associatedWith,"Buckingham, S. G., 19th cent.",,
associatedWith,"Bulkely, H. G.",,
associatedWith,"Burdette, Robert J. (Robert Jones)",1844,1914
associatedWith,"Burlingame, Anson",1820,1870
associatedWith,"Burlingame, Edward L. (Edward Livermore)",1848,1922
associatedWith,"Burnett, Frances Hodgson",1849,1924
associatedWith,"Burnham, Barbara, musician.",,
associatedWith,"Burt, Elizabeth, b. 1839.",,
associatedWith,"Butler, Nicholas Murray",1862,1947
correspondedWith,"Bynner, Witter",1881,1968
associatedWith,"Cable, George Washington",1844,1925
associatedWith,"Cadman, Charles Wakefield",1881,1946
associatedWith,"Cady, Edwin Harrison.",,
associatedWith,"Cantwell, John Simon.",,
correspondedWith,"Carnegie, Andrew",1835,1919
associatedWith,"Carnegie, Andrew",1835,1919
associatedWith,"Centolella, Tom",,
associatedWith,"Chapin, Roy D. (Roy Dikeman)",1880,1936
associatedWith,"Chappell, Warren",1904,1991
associatedWith,"Chatto, Andrew",1841,1913
associatedWith,"Chatto, Andrew.",,
associatedWith,"Chittenden, Hiram Martin",1858,1917
associatedWith,"Church, Frederic Edwin",1826,1900
associatedWith,"Claggett, William H.,",,
associatedWith,"Clark, Mary Louise.",,
associatedWith,"Clark, Robert Sterling",1877,1956
associatedWith,"Clayton, Dick.",,
associatedWith,"Clemens, Clara",1874,1962
associatedWith,"Clemens, Clara.",,
associatedWith,"Clemens, Cyril",1902,1999
associatedWith,"Clemens, Jane Lampton",1880,1909
associatedWith,"Clemens, Langdon",,
associatedWith,"Clemens, Mollie",1834,1904
associatedWith,"Clemens, Olivia Langdon",1845,1904
spouseOf,"Clemens, Olivia Langdon",1845,1904
associatedWith,"Clemens, Olivia S",1872,1896
associatedWith,"Clemens, Olivia Susan",1872,1898
associatedWith,"Clemens, Orion",1825,1897
associatedWith,"Clemens, Orion",1825,1897
associatedWith,"Clemens, Samuel Langhorne",1835,1910
associatedWith,"Clemens, Samuel Langhorne",1835,1910
associatedWith,"Clemens, Susy",1872,1896
associatedWith,"Cleveland, Grover",1837,1908
associatedWith,"Clinedinst, B. West (Benjamin West)",1860,1931
correspondedWith,"Colcord, M. B.",,
associatedWith,"Colet, Louise",,
associatedWith,"Collins, Billy",,
associatedWith,"Collins, Patrick Andrew",1844,1905
associatedWith,"Condol, Leon Washington",,
associatedWith,"Condol, Leon Washington, 1887-",,
associatedWith,"Conigrave, C. Price (Charles Price)",,
associatedWith,"Conrad, Joseph",1857,1924
associatedWith,"Conselman, William",1896,1940
associatedWith,"Conway, Moncure Daniel",1832,1907
associatedWith,"Cooke, John Esten",1830,1886
associatedWith,"Copley, James S. (James Strohn),",,
associatedWith,"Corelli, Marie",1855,1924
associatedWith,"Cox, Antoinette Cable, b. 1842.",,
correspondedWith,"Daly, Augustin",1838,1899
associatedWith,"Daly, Augustin",1838,1899
associatedWith,"Dana, Charles A. (Charles Anderson)",1819,1897
associatedWith,"Dannay, Frederic",1905,1982
associatedWith,"Daugherty, Charles Michael, 1914-",,
associatedWith,"Davis, Arthur Kyle",1867,1953
associatedWith,"Davis, Caleb Forbes",1829,1898
associatedWith,"Davis, Richard Harding",1864,1916
associatedWith,"Davis, Sam P. (Sam Post)",1850,1918
associatedWith,"De Quille, Dan",1829,1898
associatedWith,"De Voto, Bernard Augustine",1897,1955
associatedWith,"Dean, William B. (William Blake)",1838,1922
associatedWith,"Dean, William John",1870,1941
correspondedWith,"Dellenbaugh, Frederick Samuel",1853,1935
associatedWith,"DeMerritt, John",,
associatedWith,"Densmore, Verva L.",,
associatedWith,"Depew, Chauncey M. (Chauncey Mitchell)",1834,1928
associatedWith,"Derham, Milo G",1868,1949
associatedWith,"Derr, Ellwood.",,
associatedWith,"DeVoto, Bernard Augustine",1897,1955
correspondedWith,"Dickinson, Anna E. (Anna Elizabeth)",1842,1932
associatedWith,"Dodge, Mrs.,",,
associatedWith,"Doheny, Estelle",1875,1958
associatedWith,"Doubleday, Frank Nelson",1862,1934
associatedWith,"Douglass, Frederick",1818,1895
associatedWith,"Douglass, Jane,",,
associatedWith,"Drury, Wells",1851,1932
associatedWith,"Duchein, Annie, b. ca. 1872.",,
associatedWith,"Duckett, Margaret, 1906-",,
associatedWith,"Duneka, Frederick A., d. 1919,",,
associatedWith,"Duneka, Frederick A., d. 1919.",,
associatedWith,"Earhart, Amelia",,
associatedWith,"Edison, Thomas A. (Thomas Alva)",1847,1931
associatedWith,"Edouart, Alexander",1818,1892
associatedWith,"Ellsworth, William Webster",1855,1936
correspondedWith,"Emerson, Ralph Waldo",1803,1882
associatedWith,"Evans, E. P. (Edward Payson)",1831,1917
associatedWith,"Evans, Kathy",,
associatedWith,"Fairbanks, Charles Mason, b. 1855,",,
associatedWith,"Fairbanks, Mary Mason,",,
associatedWith,"Fairbanks, Mary Mason",1828,1898
associatedWith,"Fairbanks, Mary Mason.",,
associatedWith,"Fairchild, Charles, Mrs,",,
associatedWith,"Faulkner, Barry",1881,1966
associatedWith,"Ferguson, Henry",1848,1917
correspondedWith,"Field, Stephen Johnson",1816,1899
associatedWith,"Fischer, Henry W. (Henry William)",1856,1932
associatedWith,"Fiske, Albert Rantoul.",,
associatedWith,"Fitzgerald, F. Scott (Francis Scott)",1896,1940
associatedWith,"Flaubert, Gustave",,
correspondedWith,"Flower, C. E. (Charles Edward)",1830,1892
associatedWith,"Foley, Donald L.",,
associatedWith,"Foley, Katharine",,
associatedWith,"Forbes, W. Cameron (William Cameron)",1870,1959
associatedWith,"Forsslund, Louise.",,
associatedWith,"Foster, Ernest Moore",1881,1955
associatedWith,"Foster, Florida Hale",,
associatedWith,"Foster, Virginia",,
associatedWith,"Frazer, Laura Hawkins",,
associatedWith,"Freeman, Zoheth S.",,
associatedWith,"Frohman, Charles",1860,1915
associatedWith,"Frohman, Daniel",1851,1940
correspondedWith,"Frohman, Daniel",1851,1940
associatedWith,"Frost, A. B. (Arthur Burdett)",1851,1928
associatedWith,"Fuller, Frank .1827 -?",,
associatedWith,"Fuller, Frank",1868,1946
associatedWith,"Fuller, Frank, b. 1827.",,
associatedWith,"Fuller, Frank.",,
associatedWith,"Fuller, Franklin",,
associatedWith,"Fuller, Franklin.",,
associatedWith,"Gable, William F",1856,1921
associatedWith,"Gabrilowitsch, Nina Clemens",1910,1966
associatedWith,"Gabrilowitsch, Ossip",1878,1936
associatedWith,"Galsworthy, John",1867,1933
associatedWith,"Garfield, James A. (James Abram)",1831,1881
associatedWith,"Garwick, Joseph Daniel.",,
associatedWith,"Gerhardt, Karl, b. 1853.",,
associatedWith,"Gerhardt, Karl.",,
associatedWith,"Gibson, Jay Hollis.",,
associatedWith,"Gilder, Helena de Kay, d. 1916.",,
associatedWith,"Gilder, Richard Watson",1844,1909
correspondedWith,"Gilder, Richard Watson",1844,1909
associatedWith,"Gillette, William",1853,1937
associatedWith,"Gohdes, Clarence, 1901",,
associatedWith,"Goodman, Joseph T",1838,1917
associatedWith,"Gordon, Hilda H.,",,
associatedWith,"Grant, Ulysses S. (Ulysses Simpson)",1822,1885
associatedWith,"Gray, David",1870,1968
associatedWith,"Greeley, Horace",1811,1872
associatedWith,"Greeley, Horace",1811,1872
associatedWith,"Greene, Belle da Costa.",,
associatedWith,"Gribbel, John,",,
associatedWith,"Griswold, Alphonse M., 1834 -?",,
associatedWith,"Gross, Magnus, ca",1857,1955
associatedWith,"Groth, John",1908,1988
associatedWith,"Guare, John.",,
associatedWith,"Hale, Edward Everett",1822,1909
associatedWith,"Hall, Edwin Trowbridge.",,
associatedWith,"Hall, Fred J.",,
associatedWith,"Hall, Frederick J.",,
associatedWith,"Hamon, Louis (Cheiro)",1872,1896
associatedWith,"Hapgood, Charles H.",,
associatedWith,"Hapgood, Norman",1868,1937
associatedWith,"Harding, Dorothy Sturgis",1891,1978
associatedWith,"Harison, Leonard,",,
associatedWith,"Harkness, Edward Stephen",1874,1940
associatedWith,"Harkness, Edward Stephen",1874,1940
associatedWith,"Harper, J. Henry (Joseph Henry)",1850,1938
associatedWith,"Harper, Joseph Henry.",,
associatedWith,"Harper, Joseph W.",,
correspondedWith,"Harris, Joel Chandler",1848,1908
associatedWith,"Harris, Joel Chandler",1848,1908
associatedWith,"Harrison, K. I.",,
associatedWith,"Hart, J. M. (James Morgan)",1839,1916
associatedWith,"Hart, John S. (John Seely)",1810,1877
associatedWith,"Harte, Bret",1836,1902
associatedWith,"Harte, Bret",1836,1902
associatedWith,"Harvey, George Brinton McClellan",1864,1928
associatedWith,"Hatfield, J. T.,",,
associatedWith,"Hawks, Stanley, Mrs,",,
associatedWith,"Hay, John",1838,1905
associatedWith,"Heine, Heinrich",1797,1856
associatedWith,"Henderson, DuBose",1885,1940
associatedWith,"Henderson, W. E.",,
associatedWith,"Hersey, Mark Leslie",1864,1934
associatedWith,"Higbie, Calvin H., d. 1914.",,
associatedWith,"Higginson, Margaret Waldo.",,
associatedWith,"Higginson, Mary Channing.",,
associatedWith,"Higginson, Thomas Wentworth",1823,1911
associatedWith,"Hill, Edwin Bliss",1866,1949
associatedWith,"Hill, Herbert E.",,
associatedWith,"Hirst, Robert H.,",,
associatedWith,"Hobson, Charles",,
associatedWith,"Hobson, Charles, 1943-",,
associatedWith,"Holbrook, Emma.",,
associatedWith,"Holbrook, Hal.",,
associatedWith,"Holcombe, R. I. (Return Ira)",1845,1916
associatedWith,"Holland, J. G. (Josiah Gilbert)",1819,1881
associatedWith,"Holmes, Harold C.",,
associatedWith,"Holmes, Oliver Wendell",1809,1894
associatedWith,Honoré de Balzac,,
correspondedWith,"Hosmer, H. L. (Hezekiah Lord)",1814,1893
associatedWith,Houghton Library.,,
associatedWith,"Houghton, Henry Oscar",1823,1895
associatedWith,"House, Edward Howard",1836,1901
associatedWith,"Housman, A. E. (Alfred Edward)",1859,1936
correspondedWith,"Howe, E. W. (Edgar Watson)",1853,1937
associatedWith,"Howe, E. W. (Edgar Watson)",1853,1937
correspondedWith,"Howe, M. A. De Wolfe (Mark Antony De Wolfe)",1864,1960
associatedWith,"Howe, W. T. H. (William Thomas Hildrup).",,
associatedWith,"Howe, Will David",1873,1946
associatedWith,"Howells, John Mead",1868,1959
associatedWith,"Howells, William Dean",1837,1920
correspondedWith,"Hubner, Charles W. (Charles William)",1835,1929
associatedWith,"Hughes, Robert M. (Robert Morton), b. 1855.",,
correspondedWith,"Ingersoll, Robert Green",1833,1899
associatedWith,"Irvine, Alexander",1863,1941
associatedWith,"Ives, David.",,
associatedWith,J. M. (James Morgan) Hart,1839,1916
associatedWith,"Jacobs, Ward.",,
correspondedWith,"James, William",1842,1910
associatedWith,"Jennings, John Joseph",1853,1909
correspondedWith,"Jennings, Louis J. (Louis John)",1836,1893
associatedWith,JESSIE TARBOX BEALS,1870,1942
associatedWith,"Joan, of Arc, Saint",1412,1431
associatedWith,John DeMerritt,,
associatedWith,"Johnson, Lockrem",1924,1977
associatedWith,"Johnson, Merle De Vore",1874,1935
associatedWith,"Johnson, Robert Underwood",1853,1937
